STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,SEX,Sex,OBS_VALUE,Observation value,DECIMALS,Decimals,OBS_STATUS,Observation status,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),Time use,I,DNK,Denmark,UPW,Unpaid work,F,Female,242.808720907722,,0,Zero,A,Normal value,MN_D,Minutes per day,0,Units
DATAFLOW,OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),Time use,I,DNK,Denmark,PAW,Paid work or study,F,Female,194.585985644973,,0,Zero,A,Normal value,MN_D,Minutes per day,0,Units
DATAFLOW,OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),Time use,I,EST,Estonia,OTH,Other,M,Male,17.5000376944963,,0,Zero,A,Normal value,MN_D,Minutes per day,0,Units
DATAFLOW,OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),Time use,I,EST,Estonia,LEI,Leisure,M,Male,324.78124626106,,0,Zero,A,Normal value,MN_D,Minutes per day,0,Units
DATAFLOW,OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),Time use,I,EST,Estonia,PCA,Personal care,M,Male,650.692295842542,,0,Zero,A,Normal value,MN_D,Minutes per day,0,Units
DATAFLOW,OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),Time use,I,EST,Estonia,UPW,Unpaid work,M,Male,139.187715531909,,0,Zero,A,Normal value,MN_D,Minutes per day,0,Units
DATAFLOW,OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),Time use,I,EST,Estonia,PAW,Paid work or study,M,Male,307.838805529711,,0,Zero,A,Normal value,MN_D,Minutes per day,0,Units
DATAFLOW,OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),Time use,I,EST,Estonia,OTH,Other,_T,Total,18.3018223129704,,0,Zero,A,Normal value,MN_D,Minutes per day,0,Units
DATAFLOW,OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),Time use,I,EST,Estonia,LEI,Leisure,_T,Total,301.154043831466,,0,Zero,A,Normal value,MN_D,Minutes per day,0,Units
DATAFLOW,OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),Time use,I,EST,Estonia,PCA,Personal care,_T,Total,653.821360150578,,0,Zero,A,Normal value,MN_D,Minutes per day,0,Units
DATAFLOW,OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),Time use,I,EST,Estonia,UPW,Unpaid work,_T,Total,173.660976027159,,0,Zero,A,Normal value,MN_D,Minutes per day,0,Units
DATAFLOW,OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),Time use,I,EST,Estonia,OTH,Other,F,Female,19.0606822878249,,0,Zero,A,Normal value,MN_D,Minutes per day,0,Units
DATAFLOW,OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),Time use,I,EST,Estonia,LEI,Leisure,F,Female,277.308677528336,,0,Zero,A,Normal value,MN_D,Minutes per day,0,Units
DATAFLOW,OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),Time use,I,EST,Estonia,PCA,Personal care,F,Female,656.283679845747,,0,Zero,A,Normal value,MN_D,Minutes per day,0,Units
